"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-24T11:31:51.979572-05:00[America/Bogota]","0.0","0.57"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-28T12:00:55.0627043-05:00[America/Bogota]","0.0","37.8"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","PENDING","2023-11-30T00:01:24.2093318-05:00[America/Bogota]","0.0","0.37"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","ERROR","2023-11-30T00:55:39.1133347-05:00[America/Bogota]","0.0","28.85"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","ERROR","2023-11-30T11:10:47.3983996-05:00[America/Bogota]","0.0","51.12"
"Login exitoso en demo blaze","Login en demo blaze","PENDING","2023-11-29T23:15:13.7378938-05:00[America/Bogota]","0.0","0.28"
"Login exitoso en demo blaze","Login en demo blaze","SUCCESS","2023-11-29T23:52:25.748467-05:00[America/Bogota]","0.0","135.73"
"Retroceder","Retroceder una ventana en el navegador","SUCCESS","2023-12-11T11:35:41.0171183-05:00[America/Bogota]","0.0","69.09"
