"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-28T12:00:55.0627043-05:00[America/Bogota]","0.0","37.8"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","ERROR","2023-11-30T11:10:47.3983996-05:00[America/Bogota]","0.0","51.12"
