"Story","Title","Result","Date","Stability","Duration (s)"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-24T11:31:51.979572-05:00[America/Bogota]","0.0","0.57"
"Add product to cart","Add product to cart success","SUCCESS","2023-11-28T12:00:55.0627043-05:00[America/Bogota]","0.0","37.8"
"Login exitoso en demo blaze","Login en demo blaze","SUCCESS","2023-11-29T23:52:25.748467-05:00[America/Bogota]","0.0","135.73"
"Retroceder","Retroceder una ventana en el navegador","SUCCESS","2023-12-11T11:35:41.0171183-05:00[America/Bogota]","0.0","69.09"
