"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","PENDING","2023-11-30T00:01:24.2093318-05:00[America/Bogota]","0.0","0.37"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","ERROR","2023-11-30T00:55:39.1133347-05:00[America/Bogota]","0.0","28.85"
"Agregar un producto al carrito de compras","Producto agregado al carrito de compras","ERROR","2023-11-30T11:10:47.3983996-05:00[America/Bogota]","0.0","51.12"
